country_code,year,records_count,institutions_count,institutions_with_student_data,institutions_with_funding_ppp_data,institutions_with_funding_eur_data,median_students_per_institution,median_funding_per_student_ppp,median_funding_per_student_eur,student_data_coverage,funding_ppp_data_coverage
ES,2015,82,82,82,0,0,13117.5,,,1.0,0.0
ES,2016,82,82,82,0,0,13425.0,,,1.0,0.0
ES,2017,82,82,82,0,0,13556.0,,,1.0,0.0
ES,2018,83,83,83,0,0,13390.0,,,1.0,0.0
ES,2019,83,83,83,0,0,13565.0,,,1.0,0.0
ES,2020,84,84,84,0,0,13670.5,,,1.0,0.0
ES,2021,86,86,86,0,0,13880.0,,,1.0,0.0
ES,2022,89,89,89,0,0,13747.0,,,1.0,0.0
ES,2023,91,91,91,0,0,13796.0,,,1.0,0.0
FI,2014,41,41,41,38,38,5385.0,5372.772305879445,6800.425362997733,1.0,0.926829268292683
FI,2015,41,41,41,37,37,5430.0,6043.877246185531,7630.153268219384,1.0,0.9024390243902439
FI,2016,41,41,41,37,37,5350.0,5760.52243890243,7305.0337152209495,1.0,0.9024390243902439
FI,2017,40,40,40,36,36,5842.5,5904.272718398706,7423.855387932981,1.0,0.9
FI,2018,40,40,40,36,36,5710.0,6031.025234095031,7592.819528716282,1.0,0.9
FI,2019,39,39,39,36,36,5555.0,6139.790627537135,7800.72678809848,1.0,0.9230769230769231
FI,2020,38,38,38,35,35,6035.0,5895.2507005630205,7402.135732133933,1.0,0.9210526315789473
FI,2021,38,38,38,35,35,6342.5,6076.570759026663,7530.815673076923,1.0,0.9210526315789473
FI,2022,38,38,38,35,35,6899.5,5966.4718375316315,7451.049360146252,1.0,0.9210526315789473
FI,2023,38,38,38,35,35,7588.5,6113.995742959647,7540.390949792133,1.0,0.9210526315789473
